,CED,Family1Child,Family2Children,Family3Children,Family4Children,Family5Children,Family6PlusChildren,FamilyChildrenNA,HHInc_Negative,HHInc_Nil,HHInc_1_149,HHInc_150_299,HHInc_300_399,HHInc_400_499,HHInc_500_649,HHInc_650_799,HHInc_800_999,HHInc_1000_1249,HHInc_1250_1499,HHInc_1500_1749,HHInc_1750_1999,HHInc_2000_2499,HHInc_2500_2999,HHInc_3000_3499,HHInc_3500_3999,HHInc_4000_4499,HHInc_4500_4999,HHInc_5000_5999,HHInc_6000_7999,HHInc_8000_Plus,HHInc_Partial,HHInc_All_incomes_not_stated,HHInc_NA,HHTotal,Rent_Nil,Rent_1_74,Rent_75_99,Rent_100_124,Rent_125_149,Rent_150_174,Rent_175_199,Rent_200_224,Rent_225_249,Rent_250_274,Rent_275_299,Rent_300_324,Rent_325_349,Rent_350_374,Rent_375_399,Rent_400_424,Rent_425_449,Rent_450_549,Rent_550_649,Rent_650_749,Rent_750_849,Rent_850_949,Rent_950_Plus,Rent_Not_stated,Rent_Not_applicable,Age_0_4,Age_5_9,Age_10_14,Age_15_19,Age_20_24,Age_25_29,Age_30_34,Age_35_39,Age_40_44,Age_45_49,Age_50_54,Age_55_59,Age_60_64,Age_65_69,Age_70_74,Age_75_79,Age_80_84,Age_85_89,Age_90_94,Age_95_99,Age_100_Plus,NeverMarried,Widowed,Divorced,Separated,Married,MaritalStatusNA,Male,Female,Population,Ed_Postgraduate_Degree,Ed_Graduate_Diploma_and_Graduate_Certificate,Ed_Bachelor_Degree,Ed_Advanced_Diploma_and_Diploma,Ed_Certificate_III_IV,Ed_Secondary_Education_Years_10_and_above,Ed_Certificate_I_II,Ed_Secondary_Education_Years_9_and_below,Ed_Supplementary_Codes,Ed_Not_stated,Ed_Not_applicable,LabourForceStatus_Employed_worked_FT,LabourForceStatus_Employed_worked_PT,LabourForceStatus_Employed_away_from_work,LabourForceStatus_Unemployed_looking_for_FT,LabourForceStatus_Unemployed_looking_for_PT,LabourForceStatus_Not_in_the_labour_force,LabourForceStatus_Not_stated,LabourForceStatus_Not_applicable,State,Enrolment,Turnout,WinningParty,ALP,LP,LNP,NP,GRN,IND,AAPP,ADVP,AEQ,AFN,AJP,ALA,ARF,ARTS,ASP,ASXP,AUC,AUP,BTA,CDP,CEC,CLP,CM,CRNT,CYA,CYC,DHJP,DLP,DRF,FFP,FUT,GLT,HMP,KAP,LDP,MAP,NCP,None,ODR,ON,PIR,PUP,REP,RUA,SAL,SEP,SMK,SOL,SPP,VEP,XEN
0,Banks,11868,11201,3593,843,180,73,33478,127,831,371,1118,1604,3116,1983,3291,2964,3848,3509,3039,2959,5994,3850,2691,2148,1215,1166,1115,795,140,3937,1243,5249,58297,402,206,195,1216,316,539,298,510,216,325,197,502,289,778,789,1582,845,3866,1813,771,243,60,79,613,41643,9444,9250,8722,9422,10688,11552,11461,10286,10387,10195,10602,10141,8551,7236,5457,4481,3668,2636,1311,285,29,40570,7554,9819,3532,66916,27413,75780,80024,155804,8333,1948,22905,12431,15745,41069,64,10355,5982,9559,27413,46081,23083,3557,2418,2403,45079,5770,27413,NSW,104891,89832,LP,43622,46210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Barton,13019,10308,3238,871,177,69,41666,168,1347,536,1151,1437,3016,1939,3596,3406,4297,4108,3577,3423,6820,4293,3038,2416,1220,1155,1023,727,91,4542,1123,7427,65885,577,98,88,519,151,311,195,406,247,382,233,652,371,972,819,1912,1090,5860,4075,1344,438,192,220,685,44066,10307,9145,8112,9044,13661,18194,16774,12999,11684,10762,10294,9141,8050,6931,5375,4636,3752,2499,1187,288,17,52564,7055,10055,3945,71664,27569,85725,87127,172852,11693,2173,28881,13387,13648,43551,48,11617,6954,13331,27569,52298,26219,4158,2957,2884,47775,8992,27569,NSW,106511,87702,ALP,51131,36571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Bennelong,12778,11897,3284,571,81,19,38867,163,1461,509,1055,1250,2644,1862,2870,2978,4012,3778,3446,3275,6680,4401,3189,3158,1745,1751,1751,1478,238,4341,1072,6232,65322,518,162,139,685,221,401,251,388,279,406,198,489,394,941,841,1628,1094,5124,3422,1747,691,333,338,693,43923,10216,9709,8479,9619,13513,14286,14383,12875,11552,10754,10823,9819,8701,7145,5074,4301,3473,2654,1253,296,23,48572,6615,8445,2795,74122,28399,82362,86586,168948,17086,3045,35865,13314,11803,37438,58,7136,5692,9112,28399,53801,24530,3651,2673,2920,47155,5819,28399,NSW,105962,92231,LP,37154,55077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Berowra,9604,12304,4227,946,156,68,24731,63,418,272,503,630,1630,1245,1952,1990,2636,2522,2123,2268,4786,3699,3015,3018,2075,2167,2158,1806,317,4202,739,3993,50228,311,47,38,172,74,88,84,140,82,118,105,213,85,177,123,277,146,1070,1288,895,470,233,209,293,43493,7745,10055,10200,10565,8899,6182,6545,8512,10666,11103,11018,10278,8708,7806,5974,4294,2938,2148,1159,317,20,32587,5727,6671,2142,70005,28000,71298,73834,145132,10987,3206,27253,12612,13457,31446,51,5775,4852,7493,28000,45211,24034,3046,1587,1733,36866,4655,28000,NSW,105245,94017,LP,31547,62470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Blaxland,11650,10429,5160,2172,693,341,30545,209,1017,435,1496,1845,3457,2513,3966,3757,4403,3824,3035,2658,4633,2870,1738,1243,675,502,514,296,57,4179,1330,6292,56938,507,284,262,1335,326,784,416,665,313,523,289,843,561,1476,1087,2441,938,4116,1315,398,108,31,54,833,37033,13426,12317,11142,11310,14141,16142,14346,11788,10659,10339,10252,9710,7965,6575,4774,3672,2805,2015,997,240,18,44361,6899,10720,4921,70847,36885,89076,85557,174633,5455,1062,17320,11047,13942,50994,141,15070,9097,13620,36885,39035,21541,3884,4045,3302,57161,8780,36885,NSW,103506,79885,ALP,55507,24378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Bradfield,11393,12865,4254,761,99,32,31363,111,974,393,646,676,1621,1452,1864,2105,2915,2817,2480,2511,5318,3477,2719,4046,2495,2726,2998,3422,531,4826,977,5472,59573,470,45,62,148,76,133,69,130,83,84,60,181,87,203,159,553,439,3097,2104,1345,890,652,1655,449,46404,9025,11436,11416,11444,9071,7643,9293,10709,11663,12293,11360,9549,8055,7392,6025,4867,3895,3040,1619,430,26,35456,6812,7031,2176,76896,31880,76947,83304,160251,17943,3765,38825,12226,6802,31004,15,5014,4733,8044,31880,47882,24328,3012,1904,2051,43998,5196,31880,NSW,105662,93634,LP,27121,66513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Calare,9657,8526,3908,1134,262,127,42982,170,567,521,1541,2181,5123,2985,4954,4086,4851,4282,3193,3149,5439,3251,2116,1556,736,717,506,403,51,4257,2025,12642,71305,775,302,208,906,481,1093,944,1659,962,1876,1216,1768,767,1150,540,631,212,333,63,19,15,8,33,631,54715,10497,11110,10420,10359,9331,9448,9401,8977,9987,10561,10704,10829,9775,9633,7542,5302,3799,2351,991,245,36,43624,8213,11902,4741,60786,32032,80636,80662,161298,2915,1963,12813,9831,25460,39252,200,13945,4329,18558,32032,41885,21869,3988,2839,1733,46421,10531,32032,NSW,112957,100278,NP,38300,0,0,61978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Chifley,12872,11751,5189,1974,600,370,27875,142,539,291,1070,1442,2769,1924,3569,3317,4093,4001,3318,3228,6167,3745,2299,1399,792,569,546,287,47,3870,1339,5371,56141,264,246,220,1196,455,801,523,694,387,648,595,1721,1161,1980,1381,2219,938,2122,413,117,32,14,22,698,37302,13604,13525,12094,12551,12581,12499,13581,12280,11239,10790,10330,9522,7993,6851,4602,3137,2091,1214,643,119,5,47798,6517,8943,4970,63794,39229,84508,86743,171251,5124,1047,17292,10415,17886,48314,172,13730,5487,12555,39229,47518,19386,3939,3860,2815,46894,7610,39229,NSW,103864,85569,ALP,59202,26367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Cook,9562,9604,3577,741,87,30,33102,88,601,328,779,1143,2692,1782,2759,2781,3534,3129,2741,2681,5487,3785,2809,2661,1479,1503,1519,1301,221,4000,1210,6444,57459,359,82,76,471,103,202,108,208,121,272,166,381,302,636,548,1219,708,3016,1708,1028,459,227,327,412,44320,8253,8467,8165,7904,7668,8368,8802,8958,9917,9929,9380,9068,7934,7289,5924,4641,3804,2982,1286,303,18,35409,7094,9801,3169,58698,24889,67496,71564,139060,5390,2010,19228,12946,18318,33774,65,7490,5222,9728,24889,44273,21396,3464,1432,1319,36509,5778,24889,NSW,104340,91385,LP,31625,59760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Cowper,10031,7836,3161,970,234,105,49228,160,565,465,1608,2676,6372,3986,6983,5555,5981,4951,3241,3013,4748,2577,1366,1078,449,410,326,270,27,4102,2367,11538,74831,561,207,143,1127,417,909,728,1365,950,1700,1325,1773,968,1640,1095,1047,480,1248,298,71,45,17,49,612,56056,8178,9726,9486,9129,7222,7382,7494,7583,9109,9764,10845,12103,11824,11953,9566,7260,5108,3504,1675,375,36,39660,10335,15803,5497,60627,27400,77043,82279,159322,2628,1934,12997,11273,25861,39970,268,14583,4883,17525,27400,32292,23819,3532,2884,1963,57334,10098,27400,NSW,118260,103460,NP,0,0,0,56443,0,47017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Cunningham,10095,9845,3519,841,172,64,39451,117,763,488,1484,2169,4333,2499,4165,3579,4326,3775,2968,2997,5571,3823,2605,2075,1120,998,887,589,81,4293,1613,7740,65069,361,269,228,1597,426,734,577,890,534,1071,701,1465,940,1478,882,1302,560,2345,923,354,128,66,59,566,46604,8899,9413,8836,9885,12685,10577,9683,9468,10341,9953,10242,9837,8564,7718,6173,4983,3917,2690,1239,253,25,46583,7792,10907,3742,59205,27152,76873,78508,155381,7441,2738,19369,11834,21861,36429,134,11761,5124,11538,27152,40463,24374,3604,2417,2748,47531,7092,27152,NSW,111304,96924,ALP,61377,35547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Dobell,10461,9594,4027,1103,269,93,37138,101,549,376,1054,1779,4501,2845,4632,4046,4552,4165,3335,3096,5517,3401,1948,1431,670,586,472,320,54,4093,1906,9296,64709,331,112,134,627,210,548,410,709,380,808,706,1640,1069,1792,1134,1377,589,1956,357,106,37,15,35,443,49175,9409,10394,10138,9746,8923,8317,8859,8913,9798,10184,9984,9899,9181,8839,7068,5534,4063,3016,1418,343,37,40312,8850,13452,5139,56354,29956,74439,79624,154063,2314,1431,10959,10946,26024,41141,173,12647,4441,14031,29956,38559,22772,3623,2854,2003,46272,8024,29956,NSW,111630,96674,ALP,52991,43683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Eden-Monaro,8896,8071,3208,845,182,77,43281,129,454,434,1148,1821,4245,2620,4322,3832,4674,4187,3138,2949,5528,3309,2339,2045,979,1043,872,762,140,4328,1833,14640,71758,794,200,192,645,360,920,810,1389,802,1328,755,1261,578,927,439,643,257,709,304,128,62,54,234,516,57441,8180,9298,9151,8590,7100,7558,8177,8143,9739,10904,11073,11443,10533,9660,6804,4784,3180,2060,930,200,25,37433,6982,11875,4070,60539,26633,73769,73763,147532,4749,2741,14562,10777,22277,36397,134,10335,3820,15107,26633,43182,21400,4279,1753,1308,39424,9553,26633,NSW,107817,94469,ALP,50003,44466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Farrer,9264,8229,3948,1146,241,131,47020,201,607,520,1526,2279,5298,3273,5495,4898,5515,4995,3504,3264,5585,3061,1719,1232,460,501,342,372,67,4409,2613,14421,76162,1206,410,373,1185,1064,2109,1679,2066,1220,1809,944,1117,452,608,259,307,54,180,37,21,18,4,55,728,58241,10129,10681,10579,10147,9017,9139,9193,8720,9756,10368,10825,11621,10770,10124,7897,6200,4393,2844,1216,323,39,41534,9237,11276,4652,65891,31391,81183,82798,163981,2071,1771,11544,9498,25016,43182,191,16245,4242,18830,31391,43839,23204,4461,2556,1581,45038,11911,31391,NSW,111388,96579,LP,28465,68114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Fowler,12518,11449,4759,1570,402,191,28139,175,982,436,1426,1725,3337,2194,4131,3662,4242,3633,2783,2632,4288,2745,1688,1229,642,516,461,321,66,3960,1262,5557,54088,435,205,179,964,286,759,370,695,381,857,993,2290,995,1589,882,1700,804,2725,544,129,48,17,36,655,35533,10546,10365,10413,11192,12642,12141,11620,10517,10567,10941,11063,11000,9227,7412,4940,3885,2816,1949,790,192,17,44158,7325,11972,5305,64147,31328,80943,83292,164235,2817,708,13307,9892,14348,50099,180,17744,10565,13247,31328,37975,18568,3421,3701,3316,57302,8624,31328,NSW,105449,84770,ALP,57209,27561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Gilmore,8880,7277,2997,879,185,60,45902,133,575,485,1420,2233,5742,3455,6406,4996,5528,4594,3076,2842,4402,2503,1439,1100,529,511,363,317,47,4224,2108,24135,83163,558,121,154,553,254,799,607,1028,706,1565,1110,1696,907,1156,620,743,253,663,166,93,30,10,55,499,68814,7410,8375,8448,8050,6725,6452,6846,6953,8249,8805,10029,11699,12242,12756,10130,7377,4993,3294,1278,300,24,34693,9531,13518,4559,63906,24228,74171,76264,150435,3199,2344,12205,11219,26360,36390,188,13112,4729,16461,24228,30414,22300,3493,2283,1558,56607,9552,24228,NSW,115878,103169,LP,50833,52336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Grayndler,9932,8320,1857,315,44,11,45318,111,743,369,945,1253,2280,1619,2338,2487,3432,3287,3120,2981,6471,3880,3150,4255,1883,2157,2537,2680,185,4331,990,9451,66931,442,116,133,710,171,346,279,463,335,491,413,787,537,1176,900,1736,1029,4740,3233,2464,1647,1028,1373,605,41785,9089,8035,6187,5328,10131,14844,15332,13733,12915,11185,9728,8091,7044,5900,4199,3023,2355,1533,674,176,12,58889,4657,10728,3052,48877,23311,72830,76684,149514,15067,4137,34599,11411,10018,27414,34,6627,4276,12620,23311,56491,22348,3604,2166,1816,29842,9936,23311,NSW,105586,87922,ALP,57872,0,0,0,30050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Greenway,12828,14390,4401,1112,277,121,27359,95,599,274,745,1025,2053,1433,2427,2518,3356,3477,3169,3335,7081,5051,3640,2693,1449,1230,1120,582,81,3774,968,4277,56471,257,160,131,604,176,325,192,348,175,300,186,510,396,1075,1099,1844,779,3050,1772,710,105,27,31,459,41778,13734,13570,11263,10827,10297,11920,15037,15524,13466,11193,9988,8783,7614,6283,4114,2835,1905,1177,437,92,9,39691,5120,8499,3633,74559,38566,85420,84648,170068,9687,2011,23962,12788,17601,40654,97,9351,4950,10401,38566,55929,22217,3890,2931,2478,38295,5762,38566,NSW,104377,89083,ALP,50163,38920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Hughes,9916,11907,4370,868,145,35,25088,73,374,219,490,700,1936,1300,2097,2194,3025,2735,2544,2704,5743,4578,3471,2711,1749,1569,1414,987,144,3770,836,3810,51181,199,61,51,303,74,147,71,183,200,309,110,253,105,290,312,889,494,2030,1073,564,217,68,58,283,42831,9870,10392,9663,9320,8794,8244,9112,9939,10879,10327,9847,9259,7912,6919,5286,3352,2345,1743,838,225,22,34101,5280,7904,2857,64221,29925,71073,73215,144288,5799,2307,19004,13075,20999,34299,61,6905,4894,7020,29925,48452,23211,3402,1456,1438,32616,3788,29925,NSW,104413,93776,LP,38143,55633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Hume,9640,9905,4349,1216,298,111,31916,107,417,317,789,1201,3113,1799,3294,3049,3694,3436,3016,2999,6020,4110,2700,1995,1085,897,780,515,84,3989,1350,8327,59116,557,134,102,425,192,466,304,548,265,645,402,817,348,648,487,773,323,1636,465,96,43,8,28,389,49032,10093,10835,10530,9926,8639,8738,9304,9202,10565,10509,10250,9633,8855,8201,5931,4033,2698,1688,790,202,21,36624,6171,9875,3916,62592,31465,74775,75868,150643,3055,1725,11628,11139,26135,37963,125,10787,4185,12436,31465,46685,22030,3982,1913,1463,36026,7079,31465,NSW,107130,94928,LP,37801,57127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Hunter,10392,9527,3798,1032,214,113,38119,109,532,385,1158,1802,4391,2603,4770,4023,4762,4133,3273,3085,5867,3541,2087,1502,787,729,533,369,49,4073,1617,9449,65627,484,153,186,699,328,864,547,997,604,1449,1105,1893,885,1363,807,698,280,930,128,30,10,3,28,491,50670,10247,10452,9977,9816,9191,9302,9708,9176,9964,10210,10161,10402,9594,9112,7056,4868,3681,2453,1132,282,12,40882,7981,11882,4663,60730,30658,77728,79068,156796,2354,1366,10061,9732,28918,39943,195,15033,4249,14287,30658,39414,21991,3826,3288,2041,47934,7644,30658,NSW,113417,96466,ALP,60255,0,0,36211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Kingsford Smith,11259,10166,2928,499,71,25,48201,207,1947,588,1444,1864,3128,2141,2849,2971,3794,3617,3285,3152,6680,4314,3340,3632,1742,1915,1986,1841,230,5172,1728,9327,72899,578,334,271,1755,401,587,364,543,268,422,239,504,344,668,599,1414,773,5255,5446,3762,1741,967,1546,962,43162,9753,9097,7813,10318,18264,17532,16112,13843,12381,11115,10224,8764,7659,6795,5480,4320,3242,2319,966,222,13,69854,6259,10485,3559,59406,26669,87225,89007,176232,14374,2829,33999,12613,14199,41803,47,7764,5161,16774,26669,56452,24754,4152,2282,2881,47813,11229,26669,NSW,108671,92134,ALP,53962,38172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Lindsay,12187,11079,4520,1411,337,176,33815,108,542,259,870,1316,2940,2016,3445,3336,4423,4161,3600,3578,6944,4474,2822,1947,1024,867,738,489,92,3806,1359,6392,61534,294,148,127,699,211,461,284,503,336,825,833,1339,904,2323,1668,2166,763,2400,691,153,60,19,33,535,43777,12554,12078,10697,10846,11810,12859,13236,12051,11583,10673,9930,9650,8440,7548,4967,3334,2166,1313,633,150,9,47629,5936,11537,5024,61074,35327,82101,84426,166527,3856,1420,12490,11066,25407,46557,141,12561,4582,13120,35327,53637,21654,4112,2928,2017,39231,7621,35327,NSW,109724,89276,ALP,45633,43643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Lyne,8548,7088,2989,918,207,77,44555,154,586,546,1421,2162,6192,3494,6915,5030,5426,4325,2851,2574,3891,2181,1231,968,458,389,311,293,49,4041,2203,13549,71237,631,123,114,559,336,844,746,1196,790,1389,992,1467,740,983,517,518,154,383,60,23,15,7,41,448,58166,6885,8451,8603,8213,5700,5416,5693,6241,7940,9076,10144,11217,11755,12668,10368,7375,4920,3204,1255,323,33,31704,9579,13306,4687,62269,23935,71263,74217,145480,1959,1550,9798,9962,25607,37059,193,15206,4605,15606,23935,28333,20473,3468,2719,1708,56285,8559,23935,NSW,111790,99654,NP,38238,0,0,61416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Macarthur,12179,11205,4685,1607,468,230,29247,81,505,285,838,1214,2641,1941,3315,3257,4106,3888,3537,3325,6196,4028,2523,1714,937,736,625,389,80,3798,1147,5155,56251,245,169,150,872,349,568,372,583,287,522,475,1070,779,1831,1279,1888,623,2116,776,131,33,16,14,523,40564,12452,12332,11123,11084,11614,12044,12793,11359,10905,9841,10095,9809,8638,7211,4623,2915,1743,967,388,81,3,44519,5061,10116,4954,61467,35903,79775,82245,162020,3980,1298,12863,11209,22600,46005,172,11438,5116,11436,35903,49219,20600,3941,3156,2340,39817,7044,35903,NSW,104857,89912,ALP,52448,37464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Mackellar,9479,11281,3891,725,81,21,32359,85,470,294,638,934,2154,1609,2275,2367,3281,2971,2566,2600,5432,3950,2931,3135,1916,2006,2008,1740,229,4466,1173,7307,58549,337,46,56,284,122,118,55,123,94,111,77,210,95,255,236,463,299,2335,1630,1173,923,630,1018,364,47482,8871,10358,9579,8870,7513,6821,7992,9409,11346,11275,10701,9429,8371,7932,6829,5099,3620,2668,1479,420,25,34513,7091,10171,2847,65172,28813,72521,76086,148607,6925,2627,23742,14638,17223,33191,84,5883,5373,10108,28813,45538,25845,3323,1236,1387,36171,6294,28813,NSW,108268,94012,LP,32212,61800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Macquarie,9577,8999,3684,993,179,109,32906,113,421,304,829,1228,3044,2165,3231,3190,4010,3592,3094,3015,5577,3872,2480,1978,1088,911,786,514,83,3711,1188,7952,58376,396,77,58,171,92,430,273,441,290,630,381,876,497,1064,782,1178,478,1474,394,125,50,27,37,341,47813,8333,9278,9320,9345,8015,7418,7601,8114,9674,10411,10112,10257,9332,8618,6223,4024,2725,1665,762,194,20,37340,5820,11331,3666,56354,26930,69052,72389,141441,5469,2742,15821,12209,22583,33257,87,8436,4223,9684,26930,42073,22778,3304,1678,1552,37081,6045,26930,NSW,104774,91452,ALP,47733,43719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,McMahon,11929,11295,5196,1874,516,260,27645,176,802,372,1028,1383,3138,2002,3721,3414,4103,3688,3139,2905,5274,3476,2229,1550,873,660,638,367,67,4057,1153,4963,55196,369,139,143,739,205,490,269,517,229,471,335,919,676,1487,1103,2146,948,3301,829,265,72,23,30,502,39004,12032,11814,10559,10789,12110,12436,12520,11657,10805,10602,10518,10038,8458,7244,5128,3803,2654,1647,719,154,10,43311,6712,9643,4861,66768,34402,82228,83469,165697,3730,1036,14257,10794,18187,47842,143,15339,8465,11502,34402,43852,19419,3637,3317,2556,51483,7031,34402,NSW,106159,86038,ALP,53442,32596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Mitchell,10586,13717,4573,968,166,58,23884,79,494,249,417,531,1567,1167,1922,1995,2747,2616,2365,2524,5714,4371,3603,3242,2047,2066,1994,1483,224,3939,708,3839,51897,217,20,30,84,49,88,41,82,61,120,47,141,71,149,91,325,200,2291,2421,1260,464,224,172,263,42978,10154,12079,11206,10376,8952,7487,9417,11646,12545,11474,10063,9037,8013,7377,5596,3566,2262,1432,626,136,6,32652,4990,6731,2422,73213,33442,75102,78348,153450,10558,2610,26965,13428,14586,34335,43,6207,4962,6314,33442,51109,23315,3087,1829,1998,35155,3515,33442,NSW,102410,91198,LP,29351,61847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,New England,9083,7563,3558,1068,240,110,44019,223,550,485,1538,2220,5373,3280,5610,4630,5134,4422,3105,3066,4863,2591,1498,1147,470,477,308,306,51,4189,2227,12204,69977,1309,310,277,904,681,1432,1168,1821,1165,1860,1111,1639,733,872,428,419,130,338,66,18,6,8,47,736,52509,9298,10182,10248,10008,8922,8512,8437,8026,9129,9553,10143,10774,10126,9590,7712,5850,3892,2520,976,254,35,40969,8601,11292,4651,58942,29732,75389,78798,154187,3266,1766,11730,9096,22787,39520,200,14682,4111,17297,29732,39385,21201,3846,2679,1750,45033,10561,29732,NSW,109461,95004,NP,0,0,0,55595,0,39409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
